,Unnamed: 0,id,image,hint,trans,problem,correct_answer,answer,label
0,0,670961de01513940a6a2072d,https://ucarecdn.com/6d94aa37-e160-4a74-8f9f-7656774f86a8/,Check if you combined the negatives correctly when subtracting 9 from -7.,-7-9=-2,"""Vilket tal är $x$?\n\n$-7 - 9 = x$""","[""x=-16""]","[""-2""]","[8, 9]"
2,24,670faf020bd1a467798adde4,https://ucarecdn.com/94bfb995-e538-49df-bce9-3aa5ceba5deb/,Maybe check the step where you used the fraction; ensure you correctly applied 1/3 to 9 and then handled the remaining pears.,"$\frac{1}{3} \cdot \frac{9}{3}$
0
","""I en fruktskål finns 9 päron. Allan tar $\\Large\\frac{1}{3}$ av alla päron. Sedan tar Bertil hälften av päronen som finns kvar. \n\nHur många päron finns kvar efter det?""","[""3""]","[""1[1/2]""]","[0, 1, 2, 3, 4, 5]"
3,39,670ff34efa1611067822c95a,https://ucarecdn.com/3d8bf6e9-49b7-4b5c-80ea-70ea42ab098b/,"Double-check how you convert cl to cm³, especially the step where you turn 5.8 cl into cubic centimeters.","$m^3=dl$
$dm^3=cl$
$\frac{5,8}{1}$","""Skriv i cm$^3$. \n\n$5{,}8$ cl $=$""","[""58cm^[3]""]","[""0,58""]","[10, 11, 12]"
4,40,670f81e5374459da3a564078,https://ucarecdn.com/426af19d-df61-4d16-ba5e-db4fb597572a/,Double-check your multiplication for 3² to make sure you multiply 3 by itself correctly.,"$10^2 \cdot 3^2 = 100 \cdot 6 = 600$
$10 \cdot 10 = 100$
$3 \cdot 3 = 6$","""Beräkna uttryckets värde. \n\n$10^2 \\cdot 3^2$""","[""900""]","[""600""]","[13, 14, 15]"
5,45,670fa76ac822f8793eb4c5b2,https://ucarecdn.com/41aad4e8-95c7-4b78-acec-8dd793998336/,Take another look at how you handled (7 - 12) since a mistake there can change your final answer.,18 + 5 = 23,"""Beräkna.\n\n$18 + (7-12) = $""","[""13""]","[""23""]","[3, 4]"
6,56,6709142afae1558a24f6ceba,https://ucarecdn.com/5819d041-e137-4e35-aa92-90de4ac46427/,Check if you are multiplying 1.5% by 6000 instead of dividing by it.,$\frac{1.5\%}{6000}$,"""Hur mycket är $1{,}5$ % av $6\\ 000$ kr?""","[""90 kr""]","[""60 kr""]","[5, 6, 7, 8, 9]"
7,60,670b8617924650c378a2bca0,https://ucarecdn.com/7f985304-4545-4582-8065-a8831a59c9e4/,Double-check your subtraction of the decimal parts to ensure you subtracted each digit correctly.,"5¹4,¹7
-48,9
-------
06,8","""Hur mycket större är talet 54,7 än 48,9?""","[""5,8""]","[""6,8""]","[12, 13, 14, 15, 16]"
8,63,670f608a7c6897bcec4be1aa,https://ucarecdn.com/06d7a416-31bd-4147-9213-341d235bf04d/,Double-check how you distributed the -2 to both x and 3.,9x+12-2x+3=7x+15,"""Förenkla uttrycket $3(3x+4)-2(x+3)$.""","[""7x+6""]","[""7x+15""]",[11]
9,67,6709162ea346466ccf48c6e1,https://ucarecdn.com/79aef7f2-80a2-4bf3-8e03-54dbb2931b2b/,Remember to combine the 1000 from 10³ with 3.2 properly rather than just writing 3.2.,"10 * 10 * 10 = 1000
1000 * 3, 2","""Beräkna. \n\n$3{,}2\\cdot 10^3= $""","[""3200""]","[""3,2""]","[12, 13, 14, 15, 16, 17, 18]"
10,96,670f8fcc35a696685b1b0598,https://ucarecdn.com/232bd1b5-8929-4270-8e9c-2c8df839f10f/,Try writing the repeated multiplication as a power instead of just calculating it step-by-step.,2*2=4*2=8*2=16,"""Skriv uttrycket på ett kortare sätt.\n\n$2 \\cdot 2 \\cdot 2 \\cdot 2 = $""","[""2^[4]""]","[""16""]","[0, 1, 2, 3, 4]"
11,115,670fa9f64e73b7bed2b72411,https://ucarecdn.com/1d19f694-b0f2-4805-8b31-8c449e4f9c35/,Consider if you need to multiply by 8 instead of dividing 96 by 8 to isolate x.,"x/8 = 96
96/8 = 12
","""Lös ekvationen.\n\n${\\Large\\frac{x}{8}} = 96$""","[""x=768""]","[""12""]","[6, 7, 8]"
12,116,6708ff5b1be07639a70d5bc6,https://ucarecdn.com/68472a1a-4e37-4b0d-a1d7-6851a872b5b6/,Check your multiplication in the hundreds place—you might have added a digit too high there.,"126
* 3
-------
428","""Beräkna.\n\n$126\\cdot3=$""","[""378""]","[""478""]",[10]
